,Row ID,Product Name,Category,Sub-Category,Order Priority
0,40098,Samsung Convoy 3,Technology,Phones,High
1,26341,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,Critical
2,25330,"Nokia Smart Phone, with Caller ID",Technology,Phones,Medium
3,13524,"Motorola Smart Phone, Cordless",Technology,Phones,Medium
4,47221,"Sharp Wireless Fax, High-Speed",Technology,Copiers,Critical
5,22732,"Samsung Smart Phone, with Caller ID",Technology,Phones,Critical
6,30570,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical
7,31192,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables,High
8,40099,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,High
9,36258,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,High
10,36259,Newell 330,Office Supplies,Art,High
11,28879,"Bevis Conference Table, Fully Assembled",Furniture,Tables,High
12,45794,"Cisco Smart Phone, with Caller ID",Technology,Phones,Critical
13,4132,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,Critical
14,27704,"KitchenAid Microwave, White",Office Supplies,Appliances,Critical
15,13779,"Breville Refrigerator, Red",Office Supplies,Appliances,Critical
16,39519,Akro Stacking Bins,Office Supplies,Storage,Low
17,12069,"Hoover Stove, Red",Office Supplies,Appliances,Low
18,22096,"Brother Fax Machine, High-Speed",Technology,Copiers,Critical
19,49463,"KitchenAid Stove, White",Office Supplies,Appliances,High
20,46630,"Hon Computer Table, with Bottom Storage",Furniture,Tables,Critical
21,36260,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,High
22,21586,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,Critical
23,13528,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,High
24,1570,"Motorola Smart Phone, Full Size",Technology,Phones,Critical
25,3484,"Hon Computer Table, Fully Assembled",Furniture,Tables,Critical
26,30191,"Lesro Conference Table, with Bottom Storage",Furniture,Tables,Critical
27,11645,"Hoover Stove, Red",Office Supplies,Appliances,Critical
